iter	RMSE
0	13.69603954
1	13.2949619
2	12.87533303
3	12.4529283
4	12.02647991
5	11.73456784
6	11.35665287
7	10.97445978
8	10.63252076
9	10.28939857
10	9.98632616
11	9.683131113
12	9.409529414
13	9.095647732
14	8.802375232
15	8.537847906
16	8.267042831
17	8.029313212
18	7.786644243
19	7.53170568
20	7.30619077
21	7.099016706
22	6.877684064
23	6.653540561
24	6.452107041
25	6.276038922
26	6.084626699
27	5.903765687
28	5.71441857
29	5.533843549
30	5.377722368
31	5.208617304
32	5.053485221
33	4.909771948
34	4.781379155
35	4.643198423
36	4.502550853
37	4.369829001
38	4.231325626
39	4.106071348
40	3.979083124
41	3.867618588
42	3.753339316
43	3.650354737
44	3.54827813
45	3.466232468
46	3.363975335
47	3.282399509
48	3.186968286
49	3.09631621
50	3.010763456
51	2.927389101
52	2.858407735
53	2.785796613
54	2.716169626
55	2.645856896
56	2.572137214
57	2.49681252
58	2.430806515
59	2.365497876
60	2.299570109
61	2.234014326
62	2.171611004
63	2.116530093
64	2.060676311
65	1.998663927
66	1.944613381
67	1.891847601
68	1.845261902
69	1.798832547
70	1.752661115
71	1.702816437
72	1.658235067
73	1.619128222
74	1.575605869
75	1.540659468
76	1.500295223
77	1.462620151
78	1.425365775
79	1.387479499
80	1.354330405
81	1.318714883
82	1.286893397
83	1.259225713
84	1.228204264
85	1.198858568
86	1.176941678
87	1.153060704
88	1.130976079
89	1.110087126
90	1.085879296
91	1.06160734
92	1.039882291
93	1.014417225
94	0.992436533
95	0.9713903065
96	0.9529970738
97	0.9342031379
98	0.9158962813
99	0.8969554021
100	0.8795827127
101	0.862745541
102	0.8471382665
103	0.8304176902
104	0.8160928791
105	0.8008332623
106	0.7881441811
107	0.7729150455
108	0.7589768234
109	0.7461416473
110	0.7345062908
111	0.721948244
112	0.7100625655
113	0.6990711263
114	0.6882937919
115	0.6780052553
116	0.6674149923
117	0.6597008085
118	0.6493724764
119	0.6414089992
120	0.6320611924
121	0.6232618927
122	0.6145494282
123	0.6070518716
124	0.5993879004
125	0.5911295354
126	0.5851733106
127	0.5785583213
128	0.5720469245
129	0.5679268014
130	0.5621937182
131	0.555710669
132	0.5489248204
133	0.5435932675
134	0.5375316844
135	0.5320257145
136	0.526526736
137	0.5221329489
138	0.5171359553
139	0.5114958439
140	0.506440364
141	0.5023856056
142	0.4977509622
143	0.4935930798
144	0.488817322
145	0.484988905
146	0.4832199394
147	0.4787869614
148	0.4754518609
149	0.4710984219
150	0.46703135
151	0.4633175887
152	0.4615114182
153	0.4576860196
154	0.4567838659
155	0.4536460103
156	0.4514888941
157	0.4482009783
158	0.4448976842
159	0.4440561041
160	0.4408297975
161	0.437885108
162	0.4345647113
163	0.4328591677
164	0.4309299646
165	0.4291423912
166	0.4272034127
167	0.4257217572
168	0.4239759308
169	0.4222826808
170	0.4203550292
171	0.4181369114
172	0.4160804081
173	0.4148078284
174	0.4135037696
175	0.4124875876
176	0.4106898656
177	0.4088631448
178	0.407301667
179	0.4049714932
180	0.4034306419
181	0.4022501673
182	0.4011195731
183	0.4000218561
184	0.3979672224
185	0.3970022254
186	0.3950904595
187	0.3927291433
188	0.3912589923
189	0.3904483373
190	0.3882661569
191	0.3875769171
192	0.3864981613
193	0.3852056848
194	0.3843691195
195	0.3827353093
196	0.381110729
197	0.3794863322
198	0.3787607471
199	0.3778616866
200	0.3769510327
201	0.3759275988
202	0.375133888
203	0.3742724997
204	0.3738756403
205	0.373485354
206	0.3727151491
207	0.3721051159
208	0.3700471758
209	0.3683356369
210	0.3678016634
211	0.3668161281
212	0.3661407844
213	0.3654302204
214	0.3647506037
215	0.3626922624
216	0.3620354105
217	0.3612947775
218	0.3607477431
219	0.3587698168
220	0.3584065436
221	0.3579183741
222	0.3575340107
223	0.3571931577
224	0.3569100229
225	0.3565176439
226	0.3559813584
227	0.3541019323
228	0.353580746
229	0.3530579363
230	0.3526564816
231	0.352284731
232	0.3519228073
233	0.3515423624
234	0.3496529268
235	0.3479884709
236	0.3476536111
237	0.3461692035
238	0.3458762934
239	0.3444288412
240	0.3441443323
241	0.3438655192
242	0.3435922848
243	0.3431714847
244	0.3420509533
245	0.3417372309
246	0.3405118018
247	0.3402546991
248	0.3399594323
249	0.3394983362
250	0.3392652419
251	0.3375340356
252	0.337260244
253	0.336930812
254	0.3366220342
255	0.3352586275
256	0.3349930841
257	0.3347150049
258	0.334424293
259	0.3327674801
260	0.3312700731
261	0.3297367792
262	0.3283137798
263	0.3268700648
264	0.3256312909
265	0.3243390548
266	0.3233413637
267	0.3218961529
268	0.3207944472
269	0.3197260021
270	0.318900273
271	0.3175327921
272	0.3162591233
273	0.3151319065
274	0.3148504021
275	0.3146830821
276	0.3144502956
277	0.3142759241
278	0.3140637166
279	0.3138512709
280	0.3128863439
281	0.3119761792
282	0.3112246251
283	0.3104490492
284	0.3097368324
285	0.3086194191
286	0.3084585822
287	0.3072244652
288	0.3064246382
289	0.3059125539
290	0.304867241
291	0.3039298475
292	0.303790456
293	0.3030218777
294	0.3020382201
295	0.3012422849
296	0.3010643874
297	0.3009273965
298	0.3001998641
299	0.2994814282
300	0.2988245669
301	0.2976632065
302	0.2966671433
303	0.2959136448
304	0.295177164
305	0.2941198149
306	0.2940042538
307	0.2930828529
308	0.29297237
309	0.2920699434
310	0.2911965659
311	0.290360358
312	0.2894630896
313	0.2886142015
314	0.2877734822
315	0.2869525466
316	0.2860005028
317	0.285291786
318	0.2845405116
319	0.2838734973
320	0.2830989646
321	0.2825459575
322	0.2817293454
323	0.2812107124
324	0.2807165283
325	0.2798820765
326	0.2793161717
327	0.2786155569
328	0.2778041896
329	0.2770547057
330	0.2764003221
331	0.2760234628
332	0.2753280032
333	0.2751388
334	0.2743080814
335	0.2735907806
336	0.2728855098
337	0.2721831036
338	0.2716475229
339	0.2710373504
340	0.2705724866
341	0.2698700082
342	0.2691816751
343	0.2684731859
344	0.2679704913
345	0.2674695787
346	0.2667619756
347	0.2660458303
348	0.2654796655
349	0.2648762911
350	0.2641803307
351	0.2635998863
352	0.2631754871
353	0.2626111543
354	0.26195639
355	0.2615357165
356	0.2608089717
357	0.260187349
358	0.2596627569
359	0.2591063773
360	0.2587101432
361	0.2579915321
362	0.2575935544
363	0.2570247186
364	0.2562058021
365	0.2555066351
366	0.2549349196
367	0.2544397758
368	0.2539246855
369	0.2533345987
370	0.2529847169
371	0.2523101205
372	0.2518981009
373	0.2512939159
374	0.250757238
375	0.2501214953
376	0.2497828799
377	0.2491948184
378	0.2486017012
379	0.248099587
380	0.2475538785
